"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","403","myntra shopping","webkit","2026-03-12","failed","2026-03-12","","myntra.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","7413","test4","firefox","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","5386","test3","webkit","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","0","has title","firefox","2026-03-12","skipped","2026-03-12","","example1.spec.js","",""
"","0","has title","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1","has title","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1824","contact page submit","firefox","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","889","loaclhost 3000 contact test for sammu@gmail.com","chromium","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","3281","Titan","firefox","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","3933","test2","chromium","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","1659","test","chromium","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","1392","loaclhost 3000 contact test for sammu@gmail.com","firefox","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","0","has title","webkit","2026-03-12","skipped","2026-03-12","","example1.spec.js","",""
"","994","loaclhost 3000 contact test for sameer@gmail.com","chromium","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","9748","test","firefox","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","1669","test3","chromium","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","3794","test","chromium","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","2135","test","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2878","test1","chromium","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","655","test","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","255","myntra shopping","chromium","2026-03-12","failed","2026-03-12","","myntra.spec.js","",""
"","923","contact page title","firefox","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","1691","loaclhost 3000 contact test for sameer@gmail.com","webkit","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","1","get started link","webkit","2026-03-12","skipped","2026-03-12","","example1.spec.js","",""
"","5554","test1","webkit","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","2434","test","webkit","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","5717","test","webkit","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","2908","test3","firefox","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","2145","Titan","chromium","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","0","has title","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example1.spec.js","",""
"","751","contact page title","webkit","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","0","has title","chromium","2026-03-12","skipped","2026-03-12","","example1.spec.js","",""
"","3724","test","chromium","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","3992","test1","firefox","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","5816","test2","webkit","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","1949","contact page submit","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","7543","test3","firefox","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","8254","test3","webkit","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","0","get started link","firefox","2026-03-12","skipped","2026-03-12","","example1.spec.js","",""
"","641","myntra shopping","firefox","2026-03-12","failed","2026-03-12","","myntra.spec.js","",""
"","543","contact page title","chromium","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","4324","test","webkit","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","5226","test2","firefox","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","1992","contact page submit","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","966","contact page submit","chromium","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","8061","test2","webkit","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","776","contact page title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","6316","test","firefox","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","6649","test3","chromium","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","1698","loaclhost 3000 contact test for sammu@gmail.com","webkit","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","4319","Titan","webkit","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","3631","test2","chromium","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","1624","test","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","7408","test4","webkit","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
"","1830","contact page submit","webkit","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","789","contact page submit","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1791","loaclhost 3000 contact test for sameer@gmail.com","firefox","2026-03-12","passed","2026-03-12","","example1.spec.js","",""
"","6662","test","firefox","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","470","contact page title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","875","contact page title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5132","test2","firefox","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","5877","test4","chromium","2026-03-12","passed","2026-03-12","","titan.spec.js","",""
